date,open,high,low,close,volume,dividends,stock splits
2022-02-01,439.3999938964844,495.0,427.0,437.2200012207031,202918,0.0,0.0
2022-02-02,447.0,447.0,435.0,444.1099853515625,93635,0.0,0.0
2022-02-03,444.5,446.8999938964844,436.0,441.7200012207031,111914,0.0,0.0
2022-02-04,484.0,484.0,402.0,441.5299987792969,89623,0.0,0.0
2022-02-07,484.5,484.5,403.1499938964844,438.6199951171875,119174,0.0,0.0
2022-02-08,445.0,445.0,432.5,437.1199951171875,75190,0.0,0.0
2022-02-09,484.0,484.0,392.5,441.94000244140625,165705,0.0,0.0
2022-02-10,448.0,448.0,437.5,443.19000244140625,48965,0.0,0.0
2022-02-11,500.79998779296875,500.79998779296875,436.0,437.1499938964844,95173,0.0,0.0
2022-02-14,443.0,443.0,421.30999755859375,422.7900085449219,262549,0.0,0.0
2022-02-15,460.79998779296875,460.79998779296875,397.3999938964844,430.7300109863281,330518,0.0,0.0
2022-02-16,443.0,443.0,421.0,431.6600036621094,51204,0.0,0.0
2022-02-17,484.0,484.0,430.0,431.25,123812,0.0,0.0
2022-02-18,435.8999938964844,436.0,405.3999938964844,428.05999755859375,75701,0.0,0.0
2022-02-21,477.25,477.25,420.6000061035156,423.05999755859375,173944,0.0,0.0
2022-02-22,472.25,472.25,397.70001220703125,421.7200012207031,188016,0.0,0.0
2022-02-23,434.0,434.0,396.3999938964844,425.6700134277344,93815,0.0,0.0
2022-02-24,400.1000061035156,430.0,399.6499938964844,403.29998779296875,989794,0.0,0.0
2022-02-25,444.25,444.25,379.1000061035156,416.95001220703125,408966,0.0,0.0
2022-02-28,450.0,450.0,407.80999755859375,420.92999267578125,146087,0.0,0.0
2022-03-02,366.20001220703125,450.0,366.20001220703125,420.1000061035156,150018,0.0,0.0
2022-03-03,429.0,429.0,418.0,421.239990234375,95472,0.0,0.0
2022-03-04,429.3999938964844,429.3999938964844,408.5,410.2900085449219,251072,0.0,0.0
2022-03-07,406.8999938964844,409.0,391.0,403.9700012207031,534229,0.0,0.0
2022-03-08,411.0,411.0,397.010009765625,405.75,186596,0.0,0.0
2022-03-09,415.0,415.0,405.0,412.4100036621094,393510,0.0,0.0
2022-03-10,461.29998779296875,461.29998779296875,387.70001220703125,418.4700012207031,230676,0.0,0.0
2022-03-11,472.8999938964844,472.8999938964844,393.3999938964844,420.6199951171875,90630,0.0,0.0
2022-03-14,448.70001220703125,448.70001220703125,395.3999938964844,421.05999755859375,154322,0.0,0.0
2022-03-15,427.0,427.0,411.0,416.82000732421875,134042,0.0,0.0
2022-03-16,438.70001220703125,438.70001220703125,410.5799865722656,426.20001220703125,79293,0.0,0.0
2022-03-17,445.70001220703125,445.70001220703125,400.6099853515625,431.25,62254,0.0,0.0
2022-03-21,458.70001220703125,458.70001220703125,407.1499938964844,427.5899963378906,116675,0.0,0.0
2022-03-22,463.70001220703125,463.70001220703125,402.1499938964844,427.760009765625,122239,0.0,0.0
2022-03-23,436.0,436.0,421.0,428.67999267578125,198485,0.0,0.0
2022-03-24,464.70001220703125,464.70001220703125,419.9700012207031,429.79998779296875,258116,0.0,0.0
2022-03-25,468.8999938964844,468.8999938964844,404.0,428.7300109863281,221557,0.0,0.0
2022-03-28,436.0,436.0,421.0,428.2799987792969,93076,0.0,0.0
2022-03-29,464.70001220703125,464.70001220703125,427.0,430.32000732421875,79291,0.0,0.0
2022-03-30,468.70001220703125,468.70001220703125,429.9800109863281,432.9700012207031,195681,0.0,0.0
2022-03-31,464.70001220703125,464.70001220703125,430.80999755859375,434.1300048828125,57174,0.0,0.0
2022-04-01,392.1499938964844,464.67999267578125,392.1499938964844,438.2699890136719,203669,0.0,0.0
2022-04-04,445.0,463.25,434.3599853515625,447.9100036621094,164047,0.0,0.0
2022-04-05,441.0,454.1000061035156,441.0,451.239990234375,164607,0.0,0.0
2022-04-06,452.25,464.0,411.54998779296875,452.29998779296875,113029,0.0,0.0
2022-04-07,411.6000061035156,511.1000061035156,411.6000061035156,451.19000244140625,121443,0.0,0.0
2022-04-08,459.0,459.1300048828125,446.0,458.29998779296875,86561,0.0,0.0
2022-04-11,461.04998779296875,468.0,453.1000061035156,463.5299987792969,93236,0.0,0.0
2022-04-12,403.29998779296875,495.0,403.29998779296875,456.0400085449219,1119101,0.0,0.0
2022-04-13,437.010009765625,485.0,437.010009765625,458.6700134277344,137689,0.0,0.0
2022-04-18,456.3500061035156,459.9800109863281,449.8699951171875,455.5799865722656,229453,0.0,0.0
2022-04-19,459.0400085449219,485.0,440.0899963378906,448.989990234375,174268,0.0,0.0
2022-04-20,467.2799987792969,467.2799987792969,440.0400085449219,450.2200012207031,98732,0.0,0.0
2022-04-21,456.7799987792969,457.0,448.0400085449219,455.30999755859375,100834,0.0,0.0
2022-04-22,484.0,484.0,441.010009765625,453.1499938964844,65331,0.0,0.0
2022-04-25,453.1000061035156,453.1000061035156,421.260009765625,443.7799987792969,143030,0.0,0.0
2022-04-26,449.94000244140625,501.5,443.7799987792969,453.7699890136719,61137,0.0,0.0
2022-04-27,468.79998779296875,468.79998779296875,445.80999755859375,448.7200012207031,74502,0.0,0.0
2022-04-28,454.2300109863281,475.6000061035156,445.4599914550781,453.57000732421875,54142,0.0,0.0
2022-04-29,462.57000732421875,462.57000732421875,439.4700012207031,449.25,75695,0.0,0.0
2022-05-02,507.70001220703125,507.70001220703125,443.0,446.3900146484375,146911,0.0,0.0
2022-05-04,388.3999938964844,486.6000061035156,388.3999938964844,434.4599914550781,347068,0.0,0.0
2022-05-05,408.3999938964844,447.0,408.3999938964844,435.44000244140625,78900,0.0,0.0
2022-05-06,492.0,492.0,423.2200012207031,425.8800048828125,287190,0.0,0.0
2022-05-09,469.69000244140625,481.20001220703125,416.1000061035156,418.70001220703125,583558,0.0,0.0
2022-05-10,474.0,474.0,400.0,408.989990234375,270742,0.0,0.0
2022-05-11,458.0,458.0,399.95001220703125,408.3900146484375,186072,0.0,0.0
2022-05-12,458.0,458.0,383.8999938964844,398.3399963378906,431920,0.0,0.0
2022-05-13,458.0,458.0,381.010009765625,395.9700012207031,185522,0.0,0.0
2022-05-16,458.0,458.0,392.0299987792969,401.3800048828125,99912,0.0,0.0
2022-05-17,458.0,458.0,391.1000061035156,410.4200134277344,118302,0.0,0.0
2022-05-18,468.0,468.0,392.25,412.5400085449219,80697,0.0,0.0
2022-05-19,458.0,458.0,396.0,401.3500061035156,194301,0.0,0.0
2022-05-20,444.25,444.25,400.3999938964844,406.25,72315,0.0,0.0
2022-05-23,444.0,444.0,396.1000061035156,403.9599914550781,123766,0.0,0.0
2022-05-24,442.25,442.25,398.6000061035156,400.4599914550781,99743,0.0,0.0
2022-05-25,440.0,440.0,392.0,393.8299865722656,174063,0.0,0.0
2022-05-26,400.0,400.0,385.1199951171875,398.0,132675,0.0,0.0
2022-05-27,438.0,438.0,396.260009765625,400.6300048828125,64082,0.0,0.0
2022-05-30,438.0,438.0,393.010009765625,410.57000732421875,107649,0.0,0.0
2022-05-31,438.0,438.0,405.0199890136719,411.45001220703125,94069,0.0,0.0
2022-06-01,422.4599914550781,422.4599914550781,386.79998779296875,407.6499938964844,100543,0.0,0.0
2022-06-02,420.0,420.0,404.07000732421875,409.55999755859375,53346,0.0,0.0
2022-06-03,428.0,428.0,403.0299987792969,403.9599914550781,103343,0.0,0.0
2022-06-06,400.80999755859375,428.0,390.0,402.6300048828125,144190,0.0,0.0
2022-06-07,424.0,424.0,397.0,399.3800048828125,107083,0.0,0.0
2022-06-08,415.3500061035156,415.3500061035156,396.04998779296875,399.010009765625,104961,0.0,0.0
2022-06-09,399.2300109863281,404.25,395.260009765625,401.2900085449219,83305,0.0,0.0
2022-06-10,418.0,418.0,390.45001220703125,397.67999267578125,127199,0.0,0.0
2022-06-13,414.0,414.0,387.0,389.30999755859375,327374,0.0,0.0
2022-06-14,409.3999938964844,409.3999938964844,382.3500061035156,390.3599853515625,141257,0.0,0.0
2022-06-15,394.239990234375,398.6000061035156,387.4700012207031,391.2300109863281,69963,0.0,0.0
2022-06-16,417.8999938964844,417.8999938964844,381.5,383.17999267578125,276833,0.0,0.0
2022-06-17,403.8999938964844,403.8999938964844,375.55999755859375,377.239990234375,229579,0.0,0.0
2022-06-20,383.5899963378906,386.0,370.25,374.260009765625,198655,0.0,0.0
2022-06-21,399.95001220703125,399.95001220703125,368.0,382.739990234375,177678,0.0,0.0
2022-06-22,386.8900146484375,390.0,371.1700134277344,377.6300048828125,106194,0.0,0.0
2022-06-23,384.0,384.0,372.5,380.6099853515625,87430,0.0,0.0
2022-06-24,387.1400146484375,399.989990234375,376.8599853515625,386.6600036621094,51972,0.0,0.0
2022-06-27,403.989990234375,403.989990234375,383.0,389.9800109863281,126932,0.0,0.0
2022-06-28,399.989990234375,399.989990234375,366.6000061035156,390.44000244140625,57961,0.0,0.0
